loseScore,drawScore,winScore,simulationTimes
-19,10,13,29100
-19,10,14,18500
-19,10,15,11000
-19,10,16,8400
-19,10,17,6700
-19,10,18,5600
-19,10,19,4400
-19,10,20,4800
-19,11,12,272600
-19,11,13,63400
-19,11,14,33000
-19,11,15,17700
-19,11,16,11800
-19,11,17,10000
-19,11,18,6900
-19,11,19,5700
-19,11,20,5800
-19,12,13,270700
-19,12,14,71200
-19,12,15,32700
-19,12,16,20000
-19,12,17,12200
-19,12,18,10100
-19,12,19,7900
-19,12,20,7300
-19,13,14,289900
-19,13,15,83800
-19,13,16,35800
-19,13,17,20600
-19,13,18,14300
-19,13,19,10400
-19,13,20,10600
-19,14,15,320100
-19,14,16,83400
-19,14,17,37700
-19,14,18,23800
-19,14,19,15500
-19,14,20,16800
-19,15,16,340300
-19,15,17,81800
-19,15,18,38800
-19,15,19,22100
-19,15,20,24600
-19,16,17,350600
-19,16,18,88500
-19,16,19,40000
-19,16,20,42300
-19,17,18,356100
-19,17,19,96400
-19,17,20,99600
-19,18,19,395500
-19,18,20,436700
-19,19,20,418200
-18,1,2,104500
-18,1,3,27400
-18,1,4,13900
-18,1,5,8400
-18,1,6,5800
-18,1,7,4400
-18,1,8,3500
-18,1,9,2900
-18,1,10,2600
-18,1,11,2100
-18,1,12,1900
-18,1,13,1800
-18,1,14,1500
-18,1,15,1500
-18,1,16,1300
-18,1,17,1300
-18,1,18,1200
-18,1,19,1300
-18,1,20,1300
-18,2,3,105900
-18,2,5,14600
-18,2,7,6600
-18,2,9,3500
-18,2,11,2800
-18,2,13,2000
-18,2,15,1600
-18,2,17,1500
-18,2,19,1300
-18,3,4,122500
-18,3,5,35300
-18,3,7,10600
-18,3,8,6100
-18,3,10,4000
-18,3,11,3000
-18,3,13,2600
-18,3,14,2000
-18,3,16,1700
-18,3,17,1600
-18,3,19,1600
-18,3,20,1700
-18,4,5,153700
-18,4,7,16600
-18,4,9,8600
-18,4,11,4400
-18,4,13,2800
-18,4,15,2200
-18,4,17,1800
-18,4,19,1900
-18,5,6,148300
-18,5,7,43300
-18,5,8,19800
-18,5,9,11500
-18,5,10,7900
-18,5,11,6100
